userId,movie_list
1,"['Lord of the Rings: The Fellowship of the Ring, The', 'Lord of the Rings: The Two Towers, The', 'Lord of the Rings: The Return of the King, The', 'Freaks', 'Star Wars: Episode V - The Empire Strikes Back']"
2,"[""Mr. Holland's Opus"", 'From Dusk Till Dawn', 'Star Wars: Episode IV - A New Hope', 'Legends of the Fall', 'Jurassic Park']"
3,"['Usual Suspects, The', 'Kids', 'Clerks', 'Star Wars: Episode IV - A New Hope', 'Stargate']"
4,"['Firm, The', 'Rock, The', 'GoldenEye', 'Client, The', 'Forrest Gump']"
5,"['American President, The', ""Mr. Holland's Opus"", 'Birdcage, The', 'Apollo 13', 'Star Wars: Episode IV - A New Hope']"
6,"['Toy Story', 'Sabrina', 'Sense and Sensibility', 'Mighty Aphrodite', ""Mr. Holland's Opus""]"
7,"['Star Wars: Episode IV - A New Hope', 'Jurassic Park', 'Ghost', 'Terminator 2: Judgment Day', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb']"
8,"['Grumpier Old Men', 'Seven (a.k.a. Se7en)', 'Braveheart', 'Legends of the Fall', 'Natural Born Killers']"
9,"['Godfather, The', 'Exorcist, The', 'Fight Club', 'What Lies Beneath', 'Hannibal']"
10,"[""Schindler's List"", 'Godfather, The', 'Godfather: Part II, The', 'Graduate, The', 'Jaws']"
11,"['Twelve Monkeys (a.k.a. 12 Monkeys)', 'Apollo 13', 'Hackers', 'Johnny Mnemonic', 'Judge Dredd']"
12,"['Fargo', 'Toy Story', 'Babe', 'Dead Man Walking', 'Happy Gilmore']"
13,"['Twelve Monkeys (a.k.a. 12 Monkeys)', 'Seven (a.k.a. Se7en)', 'Braveheart', 'Apollo 13', 'Crimson Tide']"
14,"['Sense and Sensibility', 'Apollo 13', 'Hudsucker Proxy, The', 'Searching for Bobby Fischer', 'Wallace & Gromit: The Wrong Trousers']"
15,"['Forrest Gump', ""Schindler's List"", 'Babe', 'Apollo 13', 'Hoop Dreams']"
16,"['Threesome', 'Ghost', 'Roman Holiday', 'Princess Bride, The', 'Groundhog Day']"
17,"['Fugitive, The', 'Saving Private Ryan', 'Austin Powers: The Spy Who Shagged Me', 'Fatal Attraction', 'Patriot Games']"
18,"['Casablanca', 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)', 'All About My Mother (Todo sobre mi madre)', ""No Man's Land"", ""Amelie (Fabuleux destin d'Amélie Poulain, Le)""]"
19,"['Toy Story', 'Heat', 'Sabrina', ""Mr. Holland's Opus"", 'White Squall']"
20,"['Fear and Loathing in Las Vegas', 'Taxi Driver', 'Apocalypse Now', 'Casino', ""Monty Python's Life of Brian""]"
21,"['Casino', 'Usual Suspects, The', 'Star Wars: Episode IV - A New Hope', 'Pulp Fiction', 'Shawshank Redemption, The']"
22,"['Heat', 'Casino', 'Pulp Fiction', 'Shawshank Redemption, The', 'Terminator 2: Judgment Day']"
